"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JULIO LOPES";"0001";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202415040001";"2.435.792,00";"0,00";"0,00";"3.429.206,78";"0,00";"1.442.377,22";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"PASTOR HENRIQUE VIEIRA";"0018";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202444420018";"2.495.000,00";"0,00";"0,00";"3.140.000,00";"0,00";"1.850.000,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"EDUARDO BRAGA";"0002";"AMAZONAS (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"202429090002";"2.499.687,91";"0,00";"0,00";"4.285.327,00";"0,00";"714.048,82";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"ESPERIDIAO AMIN";"0008";"SANTA CATARINA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"8282 - REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"REESTRUTURACAO E MODERNIZACAO DAS INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"202422100008";"2.500.000,00";"1.309.909,30";"1.309.105,74";"2.035.776,77";"0,00";"346.011,75";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"JUNINHO DO PNEU";"0013";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202440260013";"2.535.792,00";"0,00";"0,00";"5.071.584,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"TARCISIO MOTTA";"0018";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20RK - FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR";"FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR - DESPESAS DIVERSAS";"202444830018";"2.545.000,00";"0,00";"0,00";"3.822.750,00";"0,00";"1.267.250,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"DELEGADA ADRIANA ACCORSI";"0007";"MÚLTIPLO";"Educação";"Educação básica";"5111 - EDUCACAO BASICA DEMOCRATICA, COM QUALIDADE E EQUIDADE";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS";"202443420007";"2.609.865,15";"0,00";"0,00";"5.219.730,30";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"TALIRIA PETRONE";"0002";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202440700002";"2.620.000,00";"1.482.611,45";"1.435.558,32";"1.204.881,65";"0,00";"1.164.001,71";
"2024";"Emenda de Bancada";"BANCADA DA PARAIBA";"0007";"PARAÍBA (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"0048 - APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS";"APOIO A ENTIDADES DE ENSINO SUPERIOR NAO FEDERAIS - DESPESAS DIVERSAS";"202471160007";"2.650.000,00";"0,00";"0,00";"5.300.000,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências com Finalidade Definida";"MAX LEMOS";"0004";"RIO DE JANEIRO (UF)";"Educação";"Ensino superior";"5113 - EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENTABILIDADE";"20GK - FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"FOMENTO AS ACOES DE GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO - DESPESAS DIVERSAS";"202444300004";"2.720.000,00";"0,00";"0,00";"2.720.000,00";"0,00";"2.720.000,00";
